Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,cost_of_the_product_per_gram,cost_with_discount
-0.04771131501848488,0.25,-0.6907217102244281,-0.37273475070016515,0,0,1.8899833648589817,-1.4682397478776226,1,0,0,0,1,0,1,0,0,0.470442045464907,0.6147308318466871
-0.04771131501848488,1.0,0.12074558253430252,-1.0294237660695575,0,1,2.8156355730238762,-0.3338933271921039,1,0,0,0,0,1,1,0,0,-0.36162921718058816,-0.21922997493477014
-1.7998874548793105,0.25,-0.5658805882615464,0.2839542646692272,0,1,2.1368239537029536,-0.15900218093007787,1,1,0,0,0,0,1,0,0,3.5589485939843537,0.6433066076712445
-0.9237993849488977,0.5,-0.7115285638849084,0.2839542646692272,1,1,-0.20816164031477966,-1.5024841681247325,1,0,1,0,0,0,1,0,0,0.4735680940804689,-0.8596415168740104
-1.7998874548793105,0.25,-0.5450737346010661,-0.37273475070016515,1,0,2.0134036592809674,-0.7032438598573617,1,0,0,1,0,0,1,0,0,0.77508495376216,0.5523797172226632
-0.9237993849488977,0.0,-1.0028245151316322,-0.37273475070016515,1,0,-0.08474134589279368,-1.3557223670656897,1,0,0,0,0,1,1,0,0,0.7396975512782417,-1.087805214238175
-0.9237993849488977,0.75,0.8281786069906317,-0.37273475070016515,0,0,-0.6401326707917305,-0.7723442078559943,1,0,0,0,1,0,1,0,0,-1.0722921186780594,1.35832279057612
-0.04771131501848488,0.0,0.47446209476246715,-1.0294237660695575,0,0,2.1368239537029536,-0.5075614584453046,1,0,0,0,0,1,1,0,0,-0.9347874762118008,-0.5393798744500533
-0.9237993849488977,0.75,-1.2525067590573953,-0.37273475070016515,0,0,-0.14645149310378666,-1.0842130351064605,1,1,0,0,0,0,1,0,0,1.1552220075775144,-1.4359382440439357
-0.9237993849488977,0.25,-0.9612108078106716,-0.37273475070016515,1,0,0.964331156694087,-1.4963690930806057,1,0,1,0,0,0,1,0,0,0.6423621098934937,-0.034285277687748916
-0.9237993849488977,0.75,-0.4410394662986648,-1.0294237660695575,1,1,-0.08474134589279368,-0.4561948280746396,1,0,0,1,0,0,1,0,0,0.9667787514384201,-0.4784137442646531
-0.04771131501848488,1.0,0.45365524110198685,-0.37273475070016515,1,0,1.149461598327066,-0.23299458896401198,1,0,0,0,0,1,1,0,0,-1.94706341945159,-0.06780403742455343
-0.9237993849488977,1.0,-0.25377778335434237,-0.37273475070016515,1,0,-0.7635529652137165,0.020169517862836914,1,0,0,0,1,0,1,0,0,-12.582243417029684,-0.44755056233991464
-0.04771131501848488,0.75,1.3483499485026385,-0.37273475070016515,2,1,0.964331156694087,-0.6310859743366657,1,0,0,0,0,1,1,0,0,-2.136555086523494,0.04809408303467655
-0.04771131501848488,0.5,-1.210893051736435,-0.37273475070016515,0,1,1.8282732176479888,-1.6052174288660626,1,1,0,0,0,0,1,0,0,0.7543483081863986,1.0029502841893294
-0.04771131501848488,0.5,0.3496209727995855,-0.37273475070016515,0,0,1.9516935120699745,-0.5668776863733345,1,0,1,0,0,0,1,0,0,-0.6167485177205088,-0.3327320114969585
-0.9237993849488977,0.75,-1.3981547346807572,-1.0294237660695575,1,0,-0.4550022291587516,-1.4920885405497168,1,0,0,1,0,0,1,0,0,0.9370454210214949,-2.0343182556693646
0.828376754911928,1.0,0.3496209727995855,-0.37273475070016515,1,1,1.3963021871710377,0.1944491566204503,1,0,0,0,0,1,0,0,1,1.7980071442635186,-0.13855555620134163
0.828376754911928,1.0,0.5993032167253488,-0.37273475070016515,2,1,0.2855195373731642,-0.6965172773088223,1,0,0,0,1,0,0,0,1,-0.8604283572704965,0.42819043953967806
-0.04771131501848488,1.0,-1.3565410273597966,-0.37273475070016515,1,1,1.9516935120699745,-1.5746420536454286,1,0,0,0,0,1,0,0,1,0.8614916794704487,1.2910112945950565
